id_pedido,id_cliente,fecha,canal,estado,ciudad_entrega
92,10974,2025-10-27,tienda,Anulado,San Vicente
93,2510,2025-09-20,,,Cuscatlan
94,10960,2025-03-09,Marketplace,,Chalatenango
95,4091,2025-03-07,,Completado,San Vicente
96,9702,2025-11-16,WEB,Pendiente,Morazan
97,12128,2025-12-03,Marketplace,Facturado,San Vicente
98,9726,2025-03-01,Web,Completado,santa ana
99,4823,2025-03-22,tienda,Facturado,Sonsonate
100,6279,2025-04-23,Web,Completado,Usulutan
101,9373,2025-03-21,CallCenter,,Usulutan
102,46,2025-04-27,Marketplace,completado,Usulutan
103,13209,2025-01-16,Web,Anulado,La Paz
104,625,2025-08-04,,Completado,Santa Ana
105,12677,2025-03-05,,Facturado,santa ana
106,5663,2025-01-31,Web,Facturado,San Salvador
107,2881,2025-03-06,WEB,,Cuscatlan
108,5921,2025-01-09,Tienda,Pendiente,San Vicente
109,7389,2025-08-04,Marketplace,Pendiente,Chalatenango
110,12883,2025-02-06,,Pendiente,san salvador
111,9207,2025-10-15,,Anulado,Usulutan
112,13348,2025-03-30,Tienda,Pendiente,santa ana
113,4564,2025-01-05,Marketplace,,Sonsonate
114,5887,2025-01-16,Tienda,Completado,Sonsonate
115,10540,2025-12-12,Web,Completado,Sonsonate
116,9067,2025-02-16,CallCenter,Anulado,santa ana
117,5138,2025-02-09,Marketplace,Completado,San Salvador
118,7827,2025-01-28,,Cerrado,Chalatenango
119,5937,2025-06-30,Marketplace,Anulado,San Miguel
120,12726,2025-06-24,,Anulado,Usulutan
121,1023,2025-06-28,Marketplace,Completado,San Miguel
122,7002,2025-12-15,Marketplace,Anulado,San Salvador
123,10523,2025-03-31,Web,Pendiente,Sonsonate
124,12553,2025-11-30,Marketplace,Anulado,Sonsonate
125,10032,2025-06-23,Marketplace,Pendiente,Morazan
126,8299,2025-10-11,Marketplace,Cerrado,San Vicente
127,9216,2025-07-14,Tienda,Facturado,Chalatenango
128,2910,2025-06-21,Web,Anulado,La Libertad
129,1343,2025-07-10,Marketplace,Cerrado,Santa Ana
130,3739,2025-02-26,Marketplace,,santa ana
131,11328,2025-05-28,tienda,Completado,
132,1598,2025-06-16,Marketplace,completado,Morazan
133,5486,2025-06-30,Tienda,Anulado,santa ana
134,10617,2025-08-06,CallCenter,Pendiente,San Vicente
135,10438,2025-11-02,CallCenter,Anulado,san salvador
136,3667,2025-07-06,tienda,Pendiente,santa ana
137,7389,2025-04-27,tienda,Completado,San Salvador
138,6767,2025-01-09,WEB,,La Libertad
139,5251,2025-05-11,Marketplace,Completado,La Paz
140,7007,10/01/2025,,,Usulutan
141,4077,2025-10-29,Web,Facturado,La Libertad
142,3940,2025-05-31,WEB,completado,La Union
143,1797,2025-11-29,WEB,Anulado,
144,2982,2025-12-25,WEB,Completado,Ahuachapan
145,9888,2025-02-25,Web,Facturado,Chalatenango
146,2578,2025-01-16,Web,,
147,5359,2025-01-20,,Completado,Cuscatlan
148,6877,2025-11-22,CallCenter,Cerrado,San Vicente
149,5153,2025-04-16,CallCenter,Cerrado,Chalatenango
150,6436,2025-01-15,Marketplace,Anulado,Cuscatlan
151,6476,2025-07-20,Web,,Santa Ana
152,9157,2025-05-01,CallCenter,Pendiente,Usulutan
153,32,2025-05-11,Web,Completado,Usulutan
154,2545,2025-05-17,,completado,san salvador
155,287,2025-05-13,tienda,Facturado,La Union
156,11322,2025-10-29,Web,,San Vicente
157,10101,2025-07-30,WEB,Anulado,San Salvador
158,7589,2025-04-14,Web,,Morazan
159,6127,2025-11-28,Web,Cerrado,santa ana
160,1677,2025-05-27,,Pendiente,Morazan
161,2231,2025-09-16,CallCenter,Facturado,Santa Ana
162,5380,2025-01-03,,completado,Sonsonate
163,10726,2025-09-16,tienda,,Cuscatlan
164,12753,2025-08-02,Web,completado,san salvador
165,1461,2025-07-17,CallCenter,,San Vicente
166,10217,2025-06-06,,Completado,La Paz
167,530,2025-09-21,CallCenter,,San Vicente
168,7334,2025-01-15,,Completado,Ahuachapan
169,4651,2025-01-27,CallCenter,Completado,SAN SALVADOR
170,7766,2025-10-11,tienda,completado,La Union
171,11510,2025-01-09,tienda,completado,La Union
172,3103,2025-07-07,Tienda,Pendiente,Santa Ana
173,10726,2025-02-14,tienda,completado,La Libertad
174,11855,2025-05-30,Marketplace,Completado,San Salvador
175,879,2025-07-25,Tienda,Facturado,Usulutan
176,3482,2025-09-25,Tienda,completado,Cuscatlan
177,3021,2025-05-29,Tienda,Cerrado,La Paz
178,8333,2025-07-28,CallCenter,,santa ana
179,10717,2025-03-25,Tienda,,Sonsonate
180,2350,2025-11-02,Marketplace,Facturado,San Miguel
181,6814,2025-07-30,CallCenter,Completado,La Paz
182,9385,2025-08-21,tienda,Anulado,La Libertad
183,962,2025-02-14,tienda,,San Vicente
184,7517,2025-04-30,Web,Facturado,Cuscatlan
185,7983,2025-01-14,Tienda,,Santa Ana
186,13188,2025-02-03,tienda,Facturado,San Salvador
187,8574,2025-06-01,,Anulado,Sonsonate
188,10182,2025-10-28,tienda,Facturado,Chalatenango
189,6092,2025-12-05,Web,Completado,San Vicente
190,6385,2025-03-18,,Anulado,
191,5863,2025-04-16,Marketplace,Facturado,San Vicente
192,9222,2025-04-18,WEB,Facturado,san salvador
193,9760,2025-06-06,WEB,Anulado,
194,11732,2025-08-14,tienda,Facturado,santa ana
195,11413,2025-09-26,Marketplace,Facturado,Santa Ana
196,13167,2025-01-21,Tienda,Anulado,Sonsonate
197,7879,2025-10-24,Marketplace,Anulado,Ahuachapan
198,5458,2025-07-19,Tienda,Anulado,Ahuachapan
199,2048,2025-01-04,CallCenter,,Usulutan
200,4484,2025-09-30,tienda,Facturado,La Libertad
201,7611,2025-10-08,WEB,,La Paz
202,4845,2025-11-19,Web,,Usulutan
203,5222,2025-12-27,WEB,Cerrado,Sonsonate
204,2194,2025-08-23,Tienda,Facturado,san salvador
205,2234,2025-07-10,tienda,Anulado,Usulutan
206,9702,2025-07-10,Marketplace,Pendiente,La Paz
207,1520,2025-01-27,,Anulado,San Miguel
208,2667,2025-07-23,Marketplace,Cerrado,San Miguel
209,2913,2025-07-01,CallCenter,Pendiente,San Vicente
210,2645,2025-10-24,Marketplace,Pendiente,La Paz
211,13047,2025-01-02,CallCenter,,La Paz
212,2165,2025-11-02,,,Chalatenango
213,3653,2025-10-28,Marketplace,Facturado,Sonsonate
214,7965,2025-06-11,WEB,,San Miguel
215,2893,2025-10-19,Tienda,,san salvador
216,12724,2025-05-07,,completado,La Paz
217,6337,2025-06-07,Marketplace,Facturado,Sonsonate
218,10796,2025-05-19,,Anulado,Santa Ana
219,11534,2025-10-19,Tienda,,La Paz
220,10806,2025-04-07,Web,Cerrado,santa ana
221,1568,2025-01-22,Marketplace,Facturado,San Salvador
222,7879,2025-06-24,tienda,Pendiente,Usulutan
223,6138,2025-05-13,tienda,completado,La Libertad
224,5140,2025-09-12,WEB,Facturado,San Salvador
225,12309,2025-02-02,Web,,San Miguel
226,4275,2025-08-16,CallCenter,Cerrado,Chalatenango
227,8071,2025-04-18,Tienda,Pendiente,Chalatenango
228,7191,2025-06-28,,Facturado,santa ana
229,8806,2025-01-14,Web,Completado,san salvador
230,12456,2025-08-29,WEB,completado,Usulutan
231,328,2025-02-07,Tienda,Pendiente,Santa Ana
232,3115,2025-12-12,Tienda,Anulado,La Union
233,5476,2025-12-30,tienda,completado,San Vicente
234,1915,2025-03-13,WEB,Pendiente,Santa Ana
235,2675,2025-12-04,tienda,completado,San Miguel
236,6176,2025-02-16,,Cerrado,santa ana
237,1964,2025-10-28,CallCenter,Completado,san salvador
238,9205,2025-06-02,Tienda,Pendiente,
239,10644,2025-10-23,CallCenter,completado,santa ana
240,5782,2025-02-16,WEB,Pendiente,santa ana
241,5276,2025-08-19,Marketplace,Anulado,SAN SALVADOR
242,7738,2025-07-24,,Completado,SAN SALVADOR
243,3303,2025-11-19,Web,Cerrado,San Miguel
244,10295,2025-03-01,Web,Facturado,SAN SALVADOR
245,4859,2025-01-02,,Anulado,Morazan
246,6007,2025-11-10,CallCenter,Completado,La Libertad
247,6996,2025-04-19,tienda,Pendiente,San Salvador
248,2917,2025-11-16,CallCenter,Facturado,Chalatenango
249,11495,2025-03-16,Tienda,completado,Ahuachapan
250,1775,2025-06-04,,Pendiente,santa ana
251,4185,2025-01-12,Tienda,Anulado,Usulutan
252,2725,2025-01-10,tienda,Completado,SAN SALVADOR
253,8433,2025-06-18,CallCenter,Facturado,La Paz
254,4124,2025-11-07,tienda,completado,Cuscatlan
255,777,2025-01-12,WEB,completado,La Union
256,10996,2025-05-03,tienda,Pendiente,La Libertad
257,10960,ayer,Tienda,Completado,san salvador
258,13449,2025-04-20,WEB,,Santa Ana
259,10631,2025-03-18,Tienda,Anulado,La Union
260,5669,2025-11-21,WEB,Facturado,Morazan
261,6682,2025-12-13,Marketplace,Anulado,
262,6874,2025-10-24,WEB,completado,Cuscatlan
263,540,2025-02-25,Tienda,,Ahuachapan
264,8078,2025-12-03,CallCenter,Cerrado,San Salvador
265,3780,2025-02-19,WEB,Completado,San Miguel
266,7833,2025-07-29,Web,Cerrado,San Miguel
267,12473,2025-02-08,WEB,Completado,Usulutan
268,5339,2025-07-07,Marketplace,,Sonsonate
269,10323,2025-04-22,Web,Pendiente,La Paz
270,10657,2025-06-05,tienda,completado,San Salvador
271,8978,2025-10-11,Tienda,completado,Ahuachapan
272,11202,2025-07-23,,,La Paz
273,10232,2025-04-24,CallCenter,Facturado,Santa Ana
274,8510,2025-08-21,Web,Cerrado,SAN SALVADOR
275,389,2025-03-28,,Cerrado,santa ana
276,7069,2025-03-26,,Cerrado,santa ana
277,12030,2025-10-01,WEB,Completado,San Salvador
278,8068,2025-06-07,Web,Anulado,Sonsonate
279,3661,2025-02-23,CallCenter,Completado,San Vicente
280,9838,10/01/2025,tienda,Facturado,SAN SALVADOR
281,1465,2025-03-19,Marketplace,completado,San Salvador
282,6438,2025-09-29,tienda,completado,San Vicente
283,831,2025-11-24,Web,completado,Sonsonate
284,3145,2025-05-14,tienda,completado,La Paz
285,12439,2025-04-03,Tienda,,San Vicente
286,10514,2025-12-15,CallCenter,completado,
287,932,2025-10-17,,completado,san salvador
288,6296,2025-02-22,CallCenter,Facturado,Morazan
289,1036,2025-10-24,Tienda,Facturado,Usulutan
290,8489,2025-09-07,CallCenter,completado,Morazan
291,2610,2025-11-04,tienda,Completado,Chalatenango
292,6321,2025-12-06,Tienda,Completado,SAN SALVADOR
293,7379,2025-07-25,WEB,,
294,5152,2025-01-03,WEB,Facturado,San Miguel
295,8949,2025-11-21,tienda,Completado,Usulutan
296,2363,2025-03-08,Web,Completado,Morazan
297,679,2025-02-02,CallCenter,Completado,San Miguel
298,4287,2025-01-27,tienda,Completado,SAN SALVADOR
299,8931,2025-05-12,tienda,completado,San Vicente
300,9103,2025-08-13,tienda,,La Paz
PED301,2879,2025-09-05,Tienda,Cerrado,san salvador
302,6128,2025-11-09,tienda,Completado,La Paz
303,8732,2025-11-13,,,Cuscatlan
304,10829,2025-06-19,Marketplace,completado,San Vicente
305,8938,2025-10-20,tienda,,La Paz
306,12639,2025-01-19,Web,Anulado,San Salvador
307,12919,2025-11-20,Marketplace,Anulado,Ahuachapan
308,965,2025-07-28,CallCenter,Cerrado,Morazan
309,3253,2025-02-10,WEB,Pendiente,Sonsonate
310,10504,2025-11-23,,,La Paz
311,5508,2025-10-05,Web,Anulado,Santa Ana
312,13353,2025-07-06,CallCenter,Cerrado,Santa Ana
313,5559,2025-09-02,Tienda,completado,Usulutan
314,11226,2025-01-05,WEB,Anulado,La Libertad
315,13278,2025-03-27,tienda,,Morazan
316,779,2025-11-01,Marketplace,Facturado,Chalatenango
317,202,2025-04-28,CallCenter,Cerrado,San Vicente
318,5293,2025-04-12,WEB,Anulado,SAN SALVADOR
319,9404,2025-07-30,WEB,Cerrado,Ahuachapan
320,2370,2025-05-08,tienda,,
321,13346,2025-09-18,,Cerrado,Usulutan
322,761,2025-05-01,Marketplace,Cerrado,La Union
323,3481,2025-12-12,WEB,completado,San Vicente
324,3192,2025-07-23,,Completado,santa ana
325,9112,2025-09-25,Tienda,completado,Ahuachapan
326,6356,2025-09-20,Web,Facturado,Usulutan
327,4451,2025-04-26,CallCenter,Pendiente,Usulutan
328,11269,2025-02-26,,Completado,La Union
329,4638,2025-03-31,WEB,Cerrado,SAN SALVADOR
330,2014,2025-07-11,tienda,,Morazan
331,316,2025-09-13,Tienda,Cerrado,Morazan
332,10978,2025-11-25,Tienda,completado,San Salvador
333,6591,2025-02-08,Web,,Morazan
334,403,2025-07-26,Marketplace,completado,Cuscatlan
335,6624,2025-03-17,,Pendiente,La Libertad
336,7650,2025-06-05,Web,,SAN SALVADOR
337,4642,2025-08-20,,Completado,SAN SALVADOR
338,11684,2025-03-20,Web,Cerrado,San Miguel
339,1817,2025-07-28,Web,Cerrado,Chalatenango
340,6852,2025-04-06,Marketplace,,SAN SALVADOR
341,12414,2025-11-15,tienda,Anulado,Cuscatlan
342,11170,2025-12-26,Marketplace,Anulado,Morazan
343,5899,2025-05-04,,Anulado,La Libertad
344,1843,2025-05-16,CallCenter,Cerrado,La Paz
345,3637,2025-10-26,Tienda,,La Paz
346,3717,2025-12-21,,Pendiente,
347,5551,2025-01-12,WEB,,Ahuachapan
348,7399,2025-10-15,tienda,,SAN SALVADOR
349,3213,2025-09-15,tienda,Cerrado,San Miguel
350,1160,2025-07-30,Web,completado,La Libertad
351,7545,2025-05-30,WEB,completado,san salvador
352,4745,2025-10-05,Tienda,completado,SAN SALVADOR
353,10495,2025-07-28,,completado,san salvador
354,2861,2025-09-20,tienda,,San Vicente
355,5413,2025-01-18,,completado,Cuscatlan
356,2057,2025-09-19,CallCenter,Facturado,San Miguel
357,5556,2025-11-25,,,Santa Ana
358,9432,2025-10-25,Marketplace,Pendiente,Usulutan
359,3175,2025-09-08,WEB,Anulado,San Vicente
360,1357,2025-02-24,CallCenter,Cerrado,Cuscatlan
361,8999,2025-10-09,WEB,Cerrado,San Vicente
362,8718,2025-04-06,tienda,Facturado,La Libertad
363,8678,2025-11-07,,,Sonsonate
364,1907,2025-07-08,Web,Facturado,Morazan
365,5074,2025-12-22,Marketplace,Cerrado,La Paz
366,3780,2025-06-11,tienda,completado,La Paz
367,5426,2025-06-08,WEB,Facturado,Sonsonate
368,6746,2025-06-04,Web,,SAN SALVADOR
369,1376,2025-06-23,tienda,completado,santa ana
370,426,2025-06-04,Marketplace,Facturado,san salvador
371,2488,2025-06-22,WEB,Facturado,San Vicente
372,13187,2025-06-26,tienda,completado,La Paz
373,573,2025-04-30,Web,Cerrado,Ahuachapan
374,11215,2025-01-30,Web,,Cuscatlan
375,1527,2025-05-28,Web,Anulado,San Miguel
376,6990,2025-02-17,Tienda,Facturado,La Libertad
377,861,2025-11-28,WEB,completado,La Libertad
378,2713,2025-05-12,Tienda,,san salvador
379,7330,2025-06-14,Marketplace,Facturado,Morazan
380,12924,2025-02-09,tienda,,
381,7948,2025-06-22,Marketplace,completado,San Salvador
382,11237,2025-04-17,Marketplace,Completado,La Paz
383,2452,2025-09-13,Marketplace,Completado,Chalatenango
384,7041,2025-09-26,CallCenter,Pendiente,San Miguel
385,11156,2025-03-13,Marketplace,Anulado,Cuscatlan
386,10522,2025-05-25,Web,Anulado,
387,11611,2025-08-30,WEB,completado,SAN SALVADOR
388,3799,2025-09-01,CallCenter,Pendiente,San Salvador
389,cliente_x,2025-12-03,Web,Anulado,san salvador
390,13246,2025-05-05,CallCenter,Completado,santa ana
391,2919,2025-01-24,Web,Cerrado,SAN SALVADOR
392,11992,2025-05-13,Marketplace,Pendiente,Santa Ana
393,7671,2025-04-28,tienda,Facturado,
394,5237,2025-01-19,Tienda,Anulado,Cuscatlan
395,10030,2025-01-06,CallCenter,Facturado,La Libertad
396,12724,2025-04-11,WEB,Pendiente,San Vicente
397,11941,2025-09-10,,completado,Ahuachapan
398,8148,2025-12-14,Tienda,Cerrado,Chalatenango
399,1782,2025-10-15,WEB,,Morazan
400,4814,2025-01-07,Web,completado,Sonsonate
401,7669,2025-02-09,WEB,Cerrado,La Union
402,11789,2025-08-15,Marketplace,Completado,san salvador
403,2250,2025-02-20,tienda,,Ahuachapan
404,12301,2025-04-03,Tienda,Completado,Ahuachapan
405,8828,2025-03-08,Web,Facturado,Sonsonate
406,12040,2025-11-19,CallCenter,Completado,SAN SALVADOR
407,9807,2025-12-30,WEB,Cerrado,Usulutan
408,5023,2025-06-16,tienda,Facturado,Santa Ana
409,7988,2025-06-06,CallCenter,Cerrado,Santa Ana
410,12505,2025-11-06,Web,Completado,San Miguel
411,2590,2025-10-13,WEB,,La Union
412,7633,2025-11-20,WEB,,Usulutan
413,1452,2025-12-04,,Cerrado,Sonsonate
414,13185,2025-02-02,Web,Facturado,santa ana
415,12035,2025-01-05,tienda,,Morazan
416,2559,2025-05-21,WEB,completado,Ahuachapan
417,11699,2025-11-16,,Anulado,Ahuachapan
418,409,2025-03-24,Web,Completado,Santa Ana
419,10211,2025-07-08,Web,Cerrado,Morazan
420,5678,10/01/2025,Web,Anulado,Sonsonate
421,5504,2025-05-09,WEB,Anulado,La Paz
422,9420,2025-10-05,Web,Completado,Chalatenango
423,7139,2025-11-29,Marketplace,Cerrado,La Union
424,11418,2025-09-07,Web,completado,San Vicente
425,7765,2025-07-16,Tienda,Facturado,Morazan
426,6568,2025-07-10,Marketplace,completado,Ahuachapan
427,10399,2025-01-11,,Completado,La Paz
428,585,2025-03-12,Web,Pendiente,Sonsonate
429,12074,2025-09-14,Marketplace,Anulado,Sonsonate
430,4964,2025-10-15,Marketplace,Completado,La Union
431,6829,2025-06-12,,Facturado,La Paz
432,13178,2025-11-23,tienda,completado,La Paz
433,2188,2025-03-22,tienda,Completado,Chalatenango
434,12604,2025-11-21,WEB,Completado,La Union
435,8612,2025-07-29,WEB,,Usulutan
436,3519,2025-08-03,,Cerrado,Morazan
437,722,2025-02-07,CallCenter,completado,San Miguel
438,13408,2025-11-30,CallCenter,Anulado,San Miguel
439,12022,2025-05-30,tienda,,La Libertad
440,3216,2025-06-13,,Pendiente,Cuscatlan
441,166,2025-01-14,tienda,Completado,
442,12486,2025-06-08,Marketplace,,San Vicente
443,5857,2025-01-26,tienda,Anulado,La Union
444,6749,2025-06-22,Web,completado,San Miguel
445,13414,2025-08-23,,Completado,
446,10177,2025-11-09,Tienda,,San Miguel
447,5782,2025-12-17,tienda,Anulado,Chalatenango
448,8202,2025-12-12,Web,Completado,santa ana
449,3051,2025-02-22,Web,Completado,Usulutan
450,12585,2025-08-15,,Pendiente,Usulutan
451,13488,2025-05-30,Web,completado,San Vicente
452,2288,2025-10-30,Web,Anulado,Cuscatlan
453,9576,2025-08-20,,Cerrado,La Paz
454,8064,2025-12-17,Tienda,,La Libertad
455,10349,2025-10-14,WEB,,Ahuachapan
456,8090,2025-01-26,Marketplace,Anulado,
457,6023,2025-09-18,,Cerrado,San Vicente
458,2152,2025-10-05,,Pendiente,Cuscatlan
459,2708,2025-05-29,,Completado,SAN SALVADOR
460,6233,2025-08-05,Tienda,Pendiente,La Paz
461,10812,2025-08-07,WEB,,SAN SALVADOR
462,1815,2025-06-24,WEB,Anulado,La Paz
463,2602,2025-05-11,tienda,Anulado,san salvador
464,6625,2025-03-31,Marketplace,Pendiente,San Vicente
465,5511,2025-05-26,WEB,,La Paz
466,200,2025-01-11,Web,Anulado,San Vicente
467,4193,2025-11-27,,completado,Ahuachapan
468,4667,2025-03-11,tienda,Facturado,Sonsonate
469,9194,2025-06-27,CallCenter,Pendiente,Chalatenango
470,4881,2025-12-09,Web,Cerrado,Ahuachapan
471,1331,2025-11-07,CallCenter,Completado,La Union
472,859,2025-11-22,,completado,La Paz
473,11381,2025-12-09,tienda,Completado,Ahuachapan
474,8760,2025-03-25,WEB,Completado,san salvador
475,8670,2025-10-03,WEB,Pendiente,santa ana
476,6070,2025-04-27,tienda,Anulado,La Libertad
477,2716,2025-09-06,WEB,Pendiente,Chalatenango
478,6614,2025-07-11,tienda,Anulado,Cuscatlan
479,11381,2025-01-11,Tienda,Completado,La Libertad
480,6776,2025-09-21,WEB,completado,
481,6765,2025-09-22,WEB,Cerrado,SAN SALVADOR
482,12270,2025-03-22,CallCenter,Pendiente,san salvador
483,2791,2025-10-08,tienda,Pendiente,Morazan
484,388,2025-06-07,Tienda,completado,Chalatenango
485,4159,2025-07-25,CallCenter,Completado,San Miguel
486,8857,2025-05-15,tienda,Anulado,San Vicente
487,6143,2025-02-24,Tienda,Facturado,La Union
488,1257,2025-05-16,CallCenter,Pendiente,Ahuachapan
489,7861,2025-08-22,Marketplace,Cerrado,
490,1861,2025-06-20,,Facturado,Sonsonate
491,8631,2025-08-22,Tienda,completado,La Union
492,6088,2025-06-25,WEB,Cerrado,Ahuachapan
493,3707,2025-07-23,Tienda,,Santa Ana
494,7919,2025-01-24,Web,Anulado,San Vicente
495,2269,2025-11-04,WEB,Pendiente,La Libertad
496,12183,2025-08-01,Web,Cerrado,Morazan
497,12071,2025-06-13,Tienda,Cerrado,San Miguel
498,3197,2025-05-30,Web,Pendiente,
499,12959,2025-05-24,Tienda,Completado,Morazan
500,7745,2025-12-08,CallCenter,Pendiente,Cuscatlan
501,6867,2025-04-04,Marketplace,completado,santa ana
502,2454,2025-09-05,,,
503,248,2025-11-23,Tienda,,San Salvador
504,11349,2025-02-25,CallCenter,completado,Santa Ana
505,6390,2025-12-07,WEB,Cerrado,Morazan
506,6475,2025-01-24,Marketplace,Pendiente,San Miguel
507,8698,2025-09-27,Marketplace,Anulado,Usulutan
508,7498,2025-06-15,tienda,Cerrado,Usulutan
509,2128,2025-04-05,Marketplace,,santa ana
510,12397,2025-12-03,,Facturado,
511,11257,2025-12-01,Web,,La Paz
512,4997,2025-06-26,Tienda,,san salvador
513,4175,2025-05-12,CallCenter,Anulado,san salvador
514,7216,ayer,,Anulado,san salvador
515,10887,2025-05-02,tienda,Completado,Sonsonate
516,11661,2025-07-16,tienda,Cerrado,santa ana
517,181,2025-03-21,,Completado,La Libertad
518,5149,2025-08-13,Web,Cerrado,san salvador
519,8960,2025-08-03,Tienda,Anulado,La Libertad
520,11881,2025-04-11,Marketplace,Pendiente,san salvador
521,11174,2025-05-19,Marketplace,Anulado,La Paz
522,6965,2025-05-01,Marketplace,completado,La Paz
523,8234,2025-03-22,Tienda,Completado,La Paz
524,7305,2025-05-16,Web,Facturado,La Libertad
525,7551,2025-03-17,tienda,Completado,Ahuachapan
526,734,2025-11-20,,Cerrado,San Miguel
527,4463,2025-01-24,WEB,,Morazan
528,8730,2025-12-18,CallCenter,completado,Morazan
529,2345,2025-04-21,tienda,Completado,
530,9766,2025-09-14,Marketplace,Pendiente,San Salvador
531,5487,2025-05-08,CallCenter,Anulado,Morazan
532,8543,2025-09-30,CallCenter,,Sonsonate
533,3449,2025-08-02,tienda,,
