id_cliente,nombre,ciudad,pais,segmento,fecha_registro
79,Cliente 00079,La Union,sv,,2025-01-24
80,Cliente 00080,Santa Ana,sv,,2025-02-04
81,Cliente 00081,,SV,PyME,2025-09-12
C82,Cliente 00082,Usulutan,SV,Mayorista,2025-10-05
83,Cliente 00083,Chalatenango,GT,Mayorista,2025-07-08
84,Cliente 00084,Morazan,NI,PyME,2025-03-06
85,Cliente 00085,San Salvador,NI,,2025-11-18
86,Cliente 00086,Cuscatlan,ELS,PyME,2025-04-01
87,Cliente 00087,San Salvador,ELS,,2025-08-14
88,Cliente 00088,Ahuachapan,ELS,PyME,2025-11-19
89,Cliente 00089,SAN SALVADOR,sv,,2025-01-21
90,Cliente 00090,,HN,Constructor,2025-06-21
91,Cliente 00091,La Union,SV,Hogar,2025-11-08
92,Cliente 00092,La Paz,SV,PyME,2025-11-17
93,Cliente 00093,santa ana,NI,Mayorista,2025-12-12
94,Cliente 00094,La Libertad,HN,Constructor,2025-06-28
95,Cliente 00095,Sonsonate,ELS,Constructor,2025-08-21
96,Cliente 00096,San Vicente,HN,Mayorista,2025-11-19
97,Cliente 00097,Usulutan,sv,PyME,2025-11-14
98,Cliente 00098,santa ana,GT,Hogar,2025-06-27
99,Cliente 00099,,HN,Mayorista,2025-01-21
100,Cliente 00100,San Miguel,SV,Constructor,2025-06-18
101,Cliente 00101,Ahuachapan,sv,Hogar,2025-01-18
102,Cliente 00102,Sonsonate,NI,,2025-05-19
103,Cliente 00103,san salvador,GT,Mayorista,2025-09-17
104,Cliente 00104,San Miguel,HN,Hogar,2025-02-05
105,Cliente 00105,Cuscatlan,ELS,,2025-05-10
106,Cliente 00106,san salvador,NI,,2025-11-26
107,Cliente 00107,Sonsonate,sv,Constructor,2025-05-18
108,Cliente 00108,,ELS,Constructor,2025-03-13
109,Cliente 00109,Sonsonate,NI,Hogar,2025-10-21
110,Cliente 00110,La Paz,GT,Constructor,2025-09-06
111,Cliente 00111,San Salvador,sv,Constructor,2025-09-05
112,Cliente 00112,San Miguel,SV,Hogar,2025-09-22
113,Cliente 00113,San Salvador,ELS,Hogar,ayer
114,,Sonsonate,HN,PyME,2025-10-20
115,Cliente 00115,La Libertad,sv,Hogar,2025-06-16
116,Cliente 00116,Santa Ana,NI,Hogar,2025-07-09
117,Cliente 00117,,HN,Constructor,2025-11-04
118,Cliente 00118,Chalatenango,GT,Mayorista,2025-02-18
119,Cliente 00119,La Libertad,ELS,Mayorista,2025-10-12
120,Cliente 00120,SAN SALVADOR,SV,Hogar,2025-08-25
121,Cliente 00121,Usulutan,ELS,PyME,2025-03-11
122,Cliente 00122,Morazan,HN,,2025-06-11
C123,Cliente 00123,La Paz,GT,Constructor,2025-03-07
124,Cliente 00124,San Vicente,sv,Constructor,2025-06-14
125,Cliente 00125,Cuscatlan,sv,PyME,2025-08-24
126,Cliente 00126,,HN,PyME,2025-07-09
127,Cliente 00127,La Union,SV,Constructor,2025-05-27
128,Cliente 00128,San Vicente,ELS,PyME,2025-09-21
129,Cliente 00129,Ahuachapan,sv,Constructor,2025-03-18
130,Cliente 00130,Santa Ana,ELS,Constructor,2025-10-15
131,Cliente 00131,Cuscatlan,GT,Hogar,2025-09-23
132,Cliente 00132,La Union,NI,Mayorista,2025-06-04
133,Cliente 00133,La Paz,NI,,2025-09-07
134,Cliente 00134,Morazan,ELS,Constructor,2025-01-13
135,Cliente 00135,,NI,PyME,2025-01-09
136,Cliente 00136,Ahuachapan,sv,Constructor,2025-10-21
137,Cliente 00137,Morazan,GT,Mayorista,2025-06-01
138,Cliente 00138,san salvador,sv,Hogar,2025-11-28
139,Cliente 00139,Ahuachapan,ELS,Hogar,2025-04-26
140,Cliente 00140,San Vicente,HN,Constructor,2025-10-21
141,Cliente 00141,Chalatenango,SV,,2025-12-07
142,Cliente 00142,San Salvador,SV,PyME,2025-06-08
143,Cliente 00143,San Vicente,sv,,2025-11-06
144,Cliente 00144,,NI,Constructor,2025-02-19
145,Cliente 00145,Morazan,NI,,2025-11-19
146,Cliente 00146,santa ana,SV,Hogar,2025-05-14
147,Cliente 00147,san salvador,sv,,2025-12-17
148,Cliente 00148,La Libertad,GT,Constructor,2025-06-12
149,Cliente 00149,La Union,HN,Mayorista,2025-05-16
150,Cliente 00150,La Union,ELS,Hogar,2025-11-16
151,Cliente 00151,santa ana,SV,Mayorista,2025-06-09
152,Cliente 00152,San Vicente,sv,Constructor,2025-05-17
153,Cliente 00153,,NI,Mayorista,2025-05-07
154,Cliente 00154,san salvador,GT,Hogar,2025-12-24
155,Cliente 00155,Usulutan,GT,,2025-02-28
156,Cliente 00156,La Union,GT,Constructor,2025-11-11
157,Cliente 00157,Chalatenango,sv,Hogar,2025-09-28
158,Cliente 00158,San Miguel,ELS,,2025-09-28
159,Cliente 00159,Cuscatlan,NI,Hogar,2025-10-07
160,Cliente 00160,San Salvador,GT,PyME,2025-04-14
161,Cliente 00161,santa ana,HN,PyME,2025-05-25
162,Cliente 00162,,NI,Mayorista,2025-03-18
163,Cliente 00163,La Union,ELS,Mayorista,2025-09-20
C164,Cliente 00164,Sonsonate,sv,,2025-09-23
165,Cliente 00165,santa ana,NI,PyME,2025-03-26
166,Cliente 00166,san salvador,NI,Hogar,2025-05-26
167,Cliente 00167,Usulutan,sv,PyME,2025-05-18
168,Cliente 00168,Chalatenango,sv,Mayorista,2025-03-06
169,Cliente 00169,san salvador,sv,PyME,2025-07-21
170,Cliente 00170,La Paz,HN,Hogar,2025-05-08
171,,,HN,Constructor,2025-09-03
172,Cliente 00172,San Vicente,NI,Mayorista,2025-03-11
173,Cliente 00173,santa ana,NI,,2025-01-16
174,Cliente 00174,San Salvador,SV,Hogar,2025-06-19
175,Cliente 00175,Ahuachapan,ELS,Hogar,2025-03-17
176,Cliente 00176,Sonsonate,SV,Mayorista,2025-11-14
177,Cliente 00177,Sonsonate,sv,PyME,2025-04-22
178,Cliente 00178,La Paz,sv,Constructor,2025-03-18
179,Cliente 00179,Morazan,NI,Mayorista,2025-08-28
180,Cliente 00180,,ELS,PyME,2025-05-21
180,Cliente 00180,,ELS,PyME,2025-05-21
181,Cliente 00181,San Vicente,HN,,2025-08-03
182,Cliente 00182,Sonsonate,NI,PyME,2025-02-25
183,Cliente 00183,SAN SALVADOR,ELS,,2025-12-06
184,Cliente 00184,Santa Ana,sv,PyME,2025-11-14
185,Cliente 00185,Sonsonate,GT,Hogar,2025-09-05
186,Cliente 00186,Ahuachapan,ELS,Constructor,2025-07-01
187,Cliente 00187,La Paz,HN,Mayorista,2025-05-27
188,Cliente 00188,Chalatenango,GT,PyME,2025-02-26
189,Cliente 00189,,sv,,2025-04-12
190,Cliente 00190,San Vicente,GT,,2025-11-19
191,Cliente 00191,san salvador,NI,,2025-06-25
192,Cliente 00192,Ahuachapan,NI,Hogar,2025-08-15
193,Cliente 00193,Chalatenango,HN,,2025-09-04
194,Cliente 00194,Ahuachapan,ELS,Hogar,2025-02-19
195,Cliente 00195,san salvador,SV,,2025-08-19
196,Cliente 00196,Santa Ana,GT,,2025-08-20
197,Cliente 00197,La Paz,HN,Hogar,2025-03-11
198,Cliente 00198,,sv,Hogar,2025-02-13
199,Cliente 00199,SAN SALVADOR,sv,,2025-05-01
200,Cliente 00200,san salvador,NI,Hogar,2025-10-17
201,Cliente 00201,Santa Ana,NI,Constructor,2025-12-05
202,Cliente 00202,Usulutan,GT,PyME,2025-06-23
203,Cliente 00203,San Vicente,NI,PyME,2025-07-08
204,Cliente 00204,La Union,GT,Hogar,2025-08-08
C205,Cliente 00205,San Miguel,GT,PyME,2025-02-19
206,Cliente 00206,La Paz,HN,Mayorista,2025-08-17
207,Cliente 00207,,SV,Mayorista,2025-04-13
208,Cliente 00208,san salvador,HN,Mayorista,2025-03-10
209,Cliente 00209,La Libertad,HN,Constructor,2025-05-25
210,Cliente 00210,Morazan,NI,,2025-01-12
211,Cliente 00211,San Miguel,HN,Hogar,2025-10-12
212,Cliente 00212,Sonsonate,HN,Hogar,2025-09-06
213,Cliente 00213,San Vicente,GT,Hogar,2025-02-26
214,Cliente 00214,Morazan,GT,Hogar,2025-04-07
215,Cliente 00215,san salvador,ELS,PyME,2025-09-09
216,Cliente 00216,,ELS,Hogar,2025-05-06
217,Cliente 00217,san salvador,sv,,2025-02-15
218,Cliente 00218,san salvador,ELS,Mayorista,2025-09-21
219,Cliente 00219,san salvador,sv,Mayorista,2025-01-10
220,Cliente 00220,SAN SALVADOR,sv,Hogar,2025-05-07
221,Cliente 00221,San Salvador,ELS,,2025-11-02
222,Cliente 00222,La Paz,ELS,Hogar,2025-12-24
223,Cliente 00223,San Miguel,HN,,2025-10-18
224,Cliente 00224,La Libertad,GT,Hogar,2025-09-12
225,Cliente 00225,,sv,,2025-07-15
226,Cliente 00226,SAN SALVADOR,sv,Hogar,ayer
227,Cliente 00227,Cuscatlan,HN,Hogar,2025-08-22
228,,San Miguel,sv,PyME,2025-03-18
229,Cliente 00229,Sonsonate,HN,Constructor,2025-07-09
230,Cliente 00230,San Miguel,GT,Hogar,2025-01-12
231,Cliente 00231,SAN SALVADOR,NI,PyME,2025-10-28
232,Cliente 00232,La Libertad,GT,PyME,2025-11-26
233,Cliente 00233,La Union,sv,Mayorista,2025-09-04
234,Cliente 00234,,sv,Hogar,2025-07-03
235,Cliente 00235,La Paz,NI,Mayorista,2025-11-19
236,Cliente 00236,La Union,HN,Constructor,2025-02-24
237,Cliente 00237,San Salvador,NI,Constructor,2025-04-04
238,Cliente 00238,Cuscatlan,sv,Constructor,2025-10-22
239,Cliente 00239,San Miguel,ELS,,2025-01-01
240,Cliente 00240,La Union,NI,PyME,2025-12-15
241,Cliente 00241,Santa Ana,sv,Mayorista,2025-03-20
242,Cliente 00242,La Paz,SV,Hogar,2025-03-01
243,Cliente 00243,,HN,,2025-05-05
244,Cliente 00244,Morazan,ELS,Hogar,2025-08-20
245,Cliente 00245,Usulutan,sv,Mayorista,2025-11-21
C246,Cliente 00246,San Salvador,GT,,2025-02-04
247,Cliente 00247,La Libertad,ELS,Mayorista,2025-02-28
248,Cliente 00248,Cuscatlan,ELS,Mayorista,2025-08-24
249,Cliente 00249,Usulutan,ELS,Mayorista,2025-12-20
250,Cliente 00250,Morazan,GT,Constructor,2025-06-27
251,Cliente 00251,San Miguel,SV,,2025-09-01
252,Cliente 00252,,sv,PyME,2025-12-10
253,Cliente 00253,Cuscatlan,sv,Constructor,2025-03-26
254,Cliente 00254,Santa Ana,sv,Mayorista,2025-03-20
255,Cliente 00255,La Union,NI,,2025-07-07
256,Cliente 00256,Usulutan,HN,,2025-07-23
257,Cliente 00257,Ahuachapan,ELS,Mayorista,2025-04-06
258,Cliente 00258,Usulutan,SV,,2025-04-10
259,Cliente 00259,San Miguel,GT,,2025-03-15
260,Cliente 00260,Cuscatlan,NI,Mayorista,2025-11-02
261,Cliente 00261,,HN,Constructor,2025-12-02
262,Cliente 00262,La Union,HN,Constructor,2025-07-08
263,Cliente 00263,Usulutan,NI,,2025-09-12
264,Cliente 00264,Chalatenango,GT,,2025-04-01
265,Cliente 00265,Morazan,HN,Mayorista,2025-07-20
266,Cliente 00266,Chalatenango,sv,,2025-10-13
267,Cliente 00267,Chalatenango,NI,Hogar,2025-02-08
268,Cliente 00268,Sonsonate,sv,Mayorista,2025-10-13
269,Cliente 00269,La Paz,sv,Mayorista,2025-09-07
270,Cliente 00270,,ELS,Hogar,2025-09-03
271,Cliente 00271,Santa Ana,SV,PyME,2025-07-04
272,Cliente 00272,San Vicente,HN,Constructor,2025-11-17
273,Cliente 00273,Santa Ana,GT,PyME,2025-06-10
274,Cliente 00274,San Salvador,SV,Hogar,2025-06-22
275,Cliente 00275,santa ana,GT,Mayorista,2025-02-21
276,Cliente 00276,Santa Ana,sv,,2025-08-11
277,Cliente 00277,San Miguel,SV,Hogar,2025-06-08
278,Cliente 00278,santa ana,GT,Mayorista,2025-02-18
279,Cliente 00279,,GT,PyME,2025-02-01
280,Cliente 00280,San Vicente,GT,Hogar,2025-08-16
281,Cliente 00281,san salvador,GT,Mayorista,2025-06-24
282,Cliente 00282,Santa Ana,SV,Mayorista,2025-03-14
283,Cliente 00283,SAN SALVADOR,ELS,,2025-09-08
284,Cliente 00284,Morazan,SV,Constructor,2025-03-01
285,,santa ana,HN,,2025-05-09
286,Cliente 00286,Morazan,SV,PyME,2025-06-25
C287,Cliente 00287,SAN SALVADOR,GT,Hogar,2025-10-25
288,Cliente 00288,,HN,Constructor,2025-06-14
289,Cliente 00289,Usulutan,sv,,2025-09-06
290,Cliente 00290,Morazan,ELS,Hogar,2025-09-20
291,Cliente 00291,Ahuachapan,HN,Mayorista,2025-05-14
292,Cliente 00292,Ahuachapan,sv,,2025-08-06
293,Cliente 00293,Chalatenango,HN,Constructor,2025-05-10
294,Cliente 00294,Santa Ana,HN,PyME,2025-01-07
295,Cliente 00295,La Union,NI,Constructor,2025-12-21
296,Cliente 00296,Santa Ana,NI,Constructor,2025-07-21
297,Cliente 00297,,GT,,2025-08-20
298,Cliente 00298,Cuscatlan,NI,Hogar,2025-06-28
299,Cliente 00299,Morazan,NI,Mayorista,2025-10-11
300,Cliente 00300,Cuscatlan,ELS,Hogar,2025-06-13
301,Cliente 00301,Chalatenango,ELS,Mayorista,2025-01-12
302,Cliente 00302,Morazan,GT,Hogar,2025-10-01
303,Cliente 00303,Usulutan,HN,,2025-01-04
304,Cliente 00304,La Union,GT,Constructor,2025-07-10
305,Cliente 00305,Ahuachapan,SV,PyME,2025-04-02
306,Cliente 00306,,SV,PyME,2025-03-02
307,Cliente 00307,Chalatenango,HN,,2025-08-04
308,Cliente 00308,san salvador,ELS,PyME,2025-02-28
309,Cliente 00309,Morazan,sv,Hogar,2025-12-03
310,Cliente 00310,Santa Ana,SV,,2025-12-24
311,Cliente 00311,Cuscatlan,SV,PyME,2025-08-27
312,Cliente 00312,San Salvador,ELS,Mayorista,2025-06-18
313,Cliente 00313,San Vicente,sv,Hogar,2025-07-10
314,Cliente 00314,santa ana,ELS,,2025-03-20
315,Cliente 00315,,GT,Hogar,2025-02-15
316,Cliente 00316,Morazan,GT,Mayorista,2025-11-21
317,Cliente 00317,santa ana,SV,Constructor,2025-02-26
318,Cliente 00318,santa ana,GT,PyME,2025-05-24
319,Cliente 00319,San Vicente,HN,,2025-03-07
320,Cliente 00320,La Union,sv,Constructor,2025-01-04
321,Cliente 00321,Sonsonate,GT,Mayorista,2025-02-12
322,Cliente 00322,Cuscatlan,SV,Hogar,2025-06-19
323,Cliente 00323,SAN SALVADOR,ELS,,2025-04-07
324,Cliente 00324,,ELS,Constructor,2025-02-10
325,Cliente 00325,Santa Ana,HN,Hogar,2025-12-08
326,Cliente 00326,San Vicente,HN,Constructor,2025-03-06
327,Cliente 00327,santa ana,sv,,2025-05-22
C328,Cliente 00328,Santa Ana,GT,Constructor,2025-10-21
329,Cliente 00329,La Paz,ELS,PyME,2025-04-25
330,Cliente 00330,San Miguel,ELS,Mayorista,2025-02-21
331,Cliente 00331,santa ana,HN,Constructor,2025-09-02
332,Cliente 00332,Chalatenango,sv,Constructor,2025-08-21
333,Cliente 00333,,SV,Constructor,2025-03-09
334,Cliente 00334,San Vicente,GT,Hogar,2025-04-10
335,Cliente 00335,Santa Ana,ELS,Mayorista,2025-02-16
336,Cliente 00336,La Union,ELS,Constructor,2025-03-23
337,Cliente 00337,san salvador,SV,Constructor,2025-07-03
338,Cliente 00338,Sonsonate,NI,PyME,2025-09-01
339,Cliente 00339,San Salvador,ELS,PyME,ayer
340,Cliente 00340,La Union,SV,Constructor,2025-08-17
341,Cliente 00341,Morazan,NI,Constructor,2025-09-24
342,,,HN,PyME,2025-01-12
343,Cliente 00343,La Paz,NI,Mayorista,2025-12-14
344,Cliente 00344,san salvador,NI,Constructor,2025-06-07
345,Cliente 00345,Ahuachapan,HN,,2025-06-26
346,Cliente 00346,Cuscatlan,HN,Hogar,2025-11-21
347,Cliente 00347,San Salvador,GT,Mayorista,2025-11-02
348,Cliente 00348,san salvador,GT,PyME,2025-11-16
349,Cliente 00349,Cuscatlan,SV,Constructor,2025-02-09
350,Cliente 00350,Santa Ana,sv,Mayorista,2025-04-21
351,Cliente 00351,,sv,Constructor,2025-04-15
352,Cliente 00352,San Salvador,SV,Hogar,2025-12-17
353,Cliente 00353,La Paz,ELS,PyME,2025-07-26
354,Cliente 00354,santa ana,sv,,2025-05-06
355,Cliente 00355,Usulutan,GT,Constructor,2025-07-27
356,Cliente 00356,Morazan,HN,Mayorista,2025-04-03
357,Cliente 00357,Cuscatlan,GT,Constructor,2025-04-20
358,Cliente 00358,La Paz,ELS,Constructor,2025-12-08
359,Cliente 00359,La Union,HN,Hogar,2025-04-24
360,Cliente 00360,,ELS,PyME,2025-02-15
360,Cliente 00360,,ELS,PyME,2025-02-15
361,Cliente 00361,San Miguel,sv,PyME,2025-05-20
362,Cliente 00362,Morazan,GT,Mayorista,2025-01-09
363,Cliente 00363,Usulutan,NI,Hogar,2025-11-02
364,Cliente 00364,Ahuachapan,GT,Constructor,2025-12-26
365,Cliente 00365,SAN SALVADOR,GT,,2025-09-14
366,Cliente 00366,La Union,GT,Hogar,2025-02-23
367,Cliente 00367,Ahuachapan,SV,Hogar,2025-09-28
368,Cliente 00368,santa ana,sv,Constructor,2025-10-11
C369,Cliente 00369,,sv,Constructor,2025-10-22
370,Cliente 00370,Ahuachapan,SV,Constructor,2025-03-19
371,Cliente 00371,Ahuachapan,GT,Constructor,2025-08-17
372,Cliente 00372,SAN SALVADOR,HN,PyME,2025-05-26
373,Cliente 00373,Ahuachapan,GT,Hogar,2025-03-13
374,Cliente 00374,SAN SALVADOR,HN,Constructor,2025-07-25
375,Cliente 00375,San Salvador,NI,,2025-01-03
376,Cliente 00376,san salvador,SV,Hogar,2025-11-11
377,Cliente 00377,santa ana,SV,Hogar,2025-08-02
378,Cliente 00378,,SV,,2025-02-15
379,Cliente 00379,san salvador,sv,,2025-03-16
380,Cliente 00380,Sonsonate,sv,Hogar,2025-06-15
381,Cliente 00381,san salvador,sv,Hogar,2025-05-17
382,Cliente 00382,La Paz,GT,,2025-12-25
383,Cliente 00383,Santa Ana,GT,Mayorista,2025-02-04
384,Cliente 00384,Usulutan,GT,PyME,2025-06-03
385,Cliente 00385,SAN SALVADOR,SV,PyME,2025-01-08
386,Cliente 00386,La Libertad,SV,Hogar,2025-05-01
387,Cliente 00387,,NI,PyME,2025-01-01
388,Cliente 00388,Usulutan,sv,Mayorista,2025-04-25
389,Cliente 00389,San Vicente,SV,Mayorista,2025-08-04
390,Cliente 00390,La Union,ELS,PyME,2025-10-08
391,Cliente 00391,san salvador,SV,PyME,2025-07-15
392,Cliente 00392,san salvador,HN,Hogar,2025-03-25
393,Cliente 00393,San Vicente,GT,Hogar,2025-06-26
394,Cliente 00394,La Paz,HN,PyME,2025-10-23
395,Cliente 00395,San Miguel,sv,,2025-09-03
396,Cliente 00396,,NI,PyME,2025-04-16
397,Cliente 00397,san salvador,sv,Mayorista,2025-11-28
398,Cliente 00398,Santa Ana,HN,Mayorista,2025-02-12
399,,Santa Ana,sv,,2025-10-20
400,Cliente 00400,Santa Ana,ELS,Mayorista,2025-01-22
401,Cliente 00401,Cuscatlan,GT,Constructor,2025-06-09
402,Cliente 00402,La Union,SV,Mayorista,2025-07-08
403,Cliente 00403,La Union,SV,Mayorista,2025-08-14
404,Cliente 00404,santa ana,ELS,,2025-08-07
405,Cliente 00405,,ELS,,2025-12-03
406,Cliente 00406,santa ana,ELS,Hogar,2025-08-22
407,Cliente 00407,San Miguel,GT,Constructor,2025-04-27
408,Cliente 00408,Morazan,GT,PyME,2025-09-26
409,Cliente 00409,San Miguel,HN,Hogar,2025-11-28
C410,Cliente 00410,San Miguel,SV,,2025-12-23
411,Cliente 00411,santa ana,NI,Constructor,2025-03-21
412,Cliente 00412,santa ana,SV,Constructor,2025-03-13
413,Cliente 00413,San Miguel,HN,PyME,2025-08-23
414,Cliente 00414,,SV,,2025-11-23
415,Cliente 00415,Chalatenango,SV,Mayorista,2025-01-21
416,Cliente 00416,Santa Ana,HN,,2025-10-22
417,Cliente 00417,San Vicente,SV,Constructor,2025-02-11
418,Cliente 00418,Santa Ana,GT,,2025-01-27
419,Cliente 00419,Santa Ana,sv,PyME,2025-12-21
420,Cliente 00420,santa ana,ELS,PyME,2025-07-19
421,Cliente 00421,Chalatenango,NI,Mayorista,2025-12-07
422,Cliente 00422,La Paz,HN,PyME,2025-08-13
423,Cliente 00423,,NI,Hogar,2025-11-17
424,Cliente 00424,santa ana,SV,,2025-07-21
425,Cliente 00425,Santa Ana,sv,Hogar,2025-04-17
426,Cliente 00426,Chalatenango,GT,Hogar,2025-08-02
427,Cliente 00427,San Salvador,sv,PyME,2025-04-18
428,Cliente 00428,Cuscatlan,NI,,2025-07-20
429,Cliente 00429,La Union,sv,Constructor,2025-04-05
430,Cliente 00430,La Paz,ELS,Mayorista,2025-06-28
431,Cliente 00431,La Union,SV,Hogar,2025-04-28
432,Cliente 00432,,NI,Constructor,2025-02-02
433,Cliente 00433,san salvador,GT,PyME,2025-12-16
434,Cliente 00434,SAN SALVADOR,NI,Mayorista,2025-02-21
435,Cliente 00435,Santa Ana,sv,Constructor,2025-04-08
436,Cliente 00436,Chalatenango,SV,Mayorista,2025-06-18
437,Cliente 00437,Chalatenango,SV,,2025-09-21
438,Cliente 00438,Morazan,HN,Hogar,2025-02-11
439,Cliente 00439,Ahuachapan,sv,Hogar,2025-07-03
440,Cliente 00440,san salvador,sv,Hogar,2025-03-06
441,Cliente 00441,,ELS,Hogar,2025-03-04
442,Cliente 00442,Chalatenango,sv,Hogar,2025-06-23
443,Cliente 00443,Santa Ana,SV,Constructor,2025-09-05
444,Cliente 00444,Ahuachapan,SV,,2025-04-10
445,Cliente 00445,Santa Ana,HN,Hogar,2025-09-05
446,Cliente 00446,Sonsonate,HN,Mayorista,2025-12-21
447,Cliente 00447,SAN SALVADOR,sv,Constructor,2025-03-24
448,Cliente 00448,Santa Ana,NI,PyME,2025-03-06
449,Cliente 00449,Sonsonate,NI,,2025-11-23
450,Cliente 00450,,GT,PyME,2025-08-26
C451,Cliente 00451,San Vicente,GT,Mayorista,2025-01-10
452,Cliente 00452,San Salvador,ELS,Constructor,ayer
453,Cliente 00453,Cuscatlan,HN,Constructor,2025-05-22
454,Cliente 00454,santa ana,ELS,PyME,2025-08-14
455,Cliente 00455,Ahuachapan,SV,PyME,2025-10-26
456,,La Paz,ELS,Constructor,2025-12-21
457,Cliente 00457,San Vicente,GT,Mayorista,2025-01-09
458,Cliente 00458,San Vicente,SV,PyME,2025-10-08
459,Cliente 00459,,GT,Hogar,2025-11-12
460,Cliente 00460,La Union,SV,Constructor,2025-10-13
461,Cliente 00461,Chalatenango,GT,Hogar,2025-10-14
462,Cliente 00462,san salvador,ELS,Mayorista,2025-05-23
463,Cliente 00463,La Libertad,sv,PyME,2025-09-15
464,Cliente 00464,San Miguel,GT,,2025-08-15
465,Cliente 00465,Santa Ana,SV,,2025-10-13
