id_producto,nombre,id_categoria,marca,activo
69,Cerradura 00069,10558,Total,TRUE
70,Cerradura 00070,7892,Truper,0
71,Cerradura 00071,4426,Truper,1
72,Brocha 00072,6508,Bosch,SI
73,Martillo 00073,9765,Total,
74,Pintura 00074,8199,,NO
75,Clavos 00075,5296,Truper,NO
76,Brocha 00076,9488,EPAHome,SI
P77,Cerradura 00077,7749,Bosch,FALSE
78,Clavos 00078,241,EPAHome,1
79,Cerradura 00079,7737,,FALSE
80,Pintura 00080,4644,Makita,FALSE
81,Sierra 00081,4968,Makita,1
82,Reflector 00082,10407,Pretul,NO
83,Pintura 00083,2264,Truper,1
84,Sierra 00084,4625,Bosch,
85,Martillo 00085,1107,Truper,SI
86,Clavos 00086,8146,Pretul,NO
87,Reflector 00087,458,Truper,
88,Pulidora 00088,8383,Truper,NO
89,Pintura 00089,8707,Total,TRUE
90,Brocha 00090,2667,EPAHome,0
91,Pulidora 00091,6,,1
92,Sierra 00092,8870,Total,FALSE
93,Taladro 00093,5062,EPAHome,
94,Sierra 00094,3396,Stanley,
95,Clavos 00095,2234,Truper,SI
96,Clavos 00096,4467,Bosch,1
97,Pulidora 00097,9056,Stanley,NO
98,Cerradura 00098,3441,Pretul,SI
99,,2522,EPAHome,
100,Pintura 00100,1879,Total,1
101,Reflector 00101,1323,Bosch,TRUE
102,Pulidora 00102,10000,Bosch,0
103,Martillo 00103,9952,Makita,FALSE
104,Martillo 00104,4620,Total,SI
105,Sierra 00105,1327,Stanley,1
106,Brocha 00106,8579,,
107,Taladro 00107,703,Bosch,NO
108,Tornillo 00108,2395,Truper,1
109,Pulidora 00109,6491,EPAHome,1
110,Brocha 00110,8634,EPAHome,1
111,Martillo 00111,8775,Pretul,1
112,Sierra 00112,1722,EPAHome,TRUE
113,Pulidora 00113,7415,Stanley,TRUE
114,Pulidora 00114,10245,,SI
115,Martillo 00115,3149,Pretul,SI
116,Brocha 00116,723,Makita,NO
117,Brocha 00117,1310,,FALSE
118,Tornillo 00118,5256,Bosch,FALSE
119,Pintura 00119,2814,Pretul,TRUE
120,Reflector 00120,9186,EPAHome,
121,Reflector 00121,4069,EPAHome,NO
122,Clavos 00122,1022,Makita,FALSE
123,Cerradura 00123,9114,Total,1
124,Reflector 00124,6902,Pretul,NO
125,Pulidora 00125,10762,Truper,TRUE
126,Pulidora 00126,2639,Pretul,NO
127,Pulidora 00127,804,Bosch,NO
128,Brocha 00128,7510,Total,FALSE
129,Sierra 00129,7373,Pretul,TRUE
130,Tornillo 00130,4587,Pretul,
131,Tornillo 00131,374,Stanley,FALSE
132,,6440,Bosch,SI
133,Tornillo 00133,3904,Truper,1
134,Martillo 00134,7361,Stanley,NO
135,Pintura 00135,4284,Pretul,1
136,Pulidora 00136,9448,Bosch,1
137,Sierra 00137,9279,Pretul,0
138,Brocha 00138,733,,0
139,Taladro 00139,5529,,NO
140,Taladro 00140,7805,,FALSE
141,Pulidora 00141,7551,Makita,1
142,Brocha 00142,1845,EPAHome,
143,Tornillo 00143,2128,Truper,SI
144,Cerradura 00144,7944,Stanley,1
145,Taladro 00145,10255,Stanley,FALSE
146,Pulidora 00146,1485,Stanley,0
147,Tornillo 00147,2047,,0
148,Clavos 00148,3801,EPAHome,TRUE
149,Cerradura 00149,2516,Truper,FALSE
150,Tornillo 00150,8731,Stanley,TRUE
151,Pintura 00151,5835,Stanley,1
152,Tornillo 00152,5002,Bosch,
153,Cerradura 00153,3294,Makita,1
P154,Pulidora 00154,1598,Truper,NO
155,Sierra 00155,8405,,TRUE
156,Reflector 00156,1582,Makita,TRUE
157,Brocha 00157,467,Total,TRUE
158,Tornillo 00158,4348,Bosch,1
159,Sierra 00159,1060,,
160,Brocha 00160,1409,Stanley,FALSE
161,Martillo 00161,3398,Stanley,NO
162,Tornillo 00162,5717,Pretul,NO
163,Pulidora 00163,7076,Stanley,NO
164,Reflector 00164,9250,Truper,
165,,7395,Truper,NO
166,Cerradura 00166,10190,,NO
167,Sierra 00167,3775,Bosch,SI
168,Martillo 00168,5312,EPAHome,SI
169,Sierra 00169,10248,Total,SI
170,Pintura 00170,5992,Truper,FALSE
171,Reflector 00171,4249,EPAHome,FALSE
172,Martillo 00172,1944,Bosch,1
173,Martillo 00173,2088,EPAHome,NO
174,Taladro 00174,9188,Stanley,TRUE
175,Pintura 00175,10811,,TRUE
176,Pintura 00176,8236,,TRUE
177,Clavos 00177,2297,Total,1
178,Tornillo 00178,589,Truper,1
179,Cerradura 00179,191,Pretul,TRUE
180,Pulidora 00180,5671,Truper,SI
181,Reflector 00181,4441,,0
182,Sierra 00182,10272,Truper,FALSE
183,Sierra 00183,10729,Bosch,1
184,Clavos 00184,4633,Truper,SI
185,Sierra 00185,7502,Pretul,1
186,Sierra 00186,7912,Truper,0
187,Clavos 00187,19,Bosch,SI
188,Reflector 00188,4007,Truper,0
189,Reflector 00189,10072,Stanley,TRUE
190,Brocha 00190,8131,,1
191,Martillo 00191,385,,FALSE
192,Sierra 00192,3791,Truper,TRUE
193,Martillo 00193,3988,Bosch,NO
194,Martillo 00194,9968,EPAHome,1
195,Pulidora 00195,5169,Makita,0
196,Clavos 00196,4499,,TRUE
197,Tornillo 00197,8062,Makita,FALSE
198,,5526,Makita,NO
199,Clavos 00199,10631,Stanley,NO
200,Pintura 00200,2159,Total,1
201,Reflector 00201,3301,Pretul,0
202,Reflector 00202,8908,Truper,FALSE
203,Pintura 00203,9823,Makita,0
204,Sierra 00204,7735,Pretul,1
205,Sierra 00205,ABC,,TRUE
206,Reflector 00206,4761,Stanley,TRUE
207,Taladro 00207,3752,EPAHome,0
208,Pulidora 00208,1739,Truper,1
209,Reflector 00209,6348,Total,
210,Sierra 00210,3983,,TRUE
211,Tornillo 00211,10530,Makita,FALSE
212,Martillo 00212,1309,Stanley,FALSE
213,Martillo 00213,9373,,0
214,Taladro 00214,7269,Truper,SI
215,Taladro 00215,2897,Total,NO
216,Pintura 00216,8559,Truper,1
217,Pulidora 00217,8632,Pretul,FALSE
218,Tornillo 00218,7272,,NO
219,Clavos 00219,2880,Makita,SI
220,Pulidora 00220,3225,Makita,0
221,Martillo 00221,1352,Stanley,FALSE
222,Sierra 00222,9621,Truper,FALSE
223,Sierra 00223,8465,Makita,
224,Martillo 00224,5508,Makita,SI
225,Taladro 00225,5294,Stanley,TRUE
226,Pulidora 00226,2323,,NO
227,Brocha 00227,379,Stanley,1
228,Martillo 00228,10245,Truper,
229,Brocha 00229,2070,,SI
230,Pintura 00230,7604,Pretul,
P231,,289,Truper,TRUE
232,Taladro 00232,9942,,
233,Brocha 00233,9051,Pretul,0
234,Sierra 00234,5962,Total,NO
235,Pintura 00235,6554,Truper,
236,Clavos 00236,4698,Truper,NO
237,Martillo 00237,868,Pretul,SI
238,Cerradura 00238,963,Truper,
239,Taladro 00239,2947,Truper,NO
240,Brocha 00240,6168,Makita,0
241,Tornillo 00241,5586,,NO
242,Cerradura 00242,6963,Stanley,SI
243,Taladro 00243,4717,Truper,1
244,Reflector 00244,3447,Bosch,NO
245,Brocha 00245,8936,Makita,
246,Clavos 00246,8008,Bosch,FALSE
247,Reflector 00247,101,Bosch,SI
248,Tornillo 00248,3725,Pretul,
249,Pulidora 00249,168,Stanley,TRUE
250,Sierra 00250,8732,Stanley,0
251,Tornillo 00251,7851,Makita,FALSE
252,Pulidora 00252,3266,Total,FALSE
253,Reflector 00253,7187,Stanley,NO
254,Pulidora 00254,232,Bosch,TRUE
255,Clavos 00255,354,EPAHome,NO
256,Tornillo 00256,3181,Pretul,FALSE
257,Pulidora 00257,10221,EPAHome,1
258,Taladro 00258,4336,Total,0
259,Pulidora 00259,6983,Pretul,FALSE
260,Cerradura 00260,8429,Truper,SI
261,Reflector 00261,6286,Stanley,NO
262,Taladro 00262,4637,EPAHome,TRUE
263,Martillo 00263,8078,Pretul,TRUE
264,,915,Bosch,NO
265,Pulidora 00265,3002,Bosch,0
266,Clavos 00266,8124,Makita,FALSE
267,Reflector 00267,4017,,NO
268,Martillo 00268,10386,Bosch,
269,Pintura 00269,3393,EPAHome,FALSE
270,Clavos 00270,8625,Makita,SI
271,Pintura 00271,5411,Pretul,FALSE
272,Brocha 00272,4954,Total,0
273,Reflector 00273,7423,,1
274,Pulidora 00274,10740,Total,0
275,Pintura 00275,5988,EPAHome,1
276,Pulidora 00276,7246,Stanley,FALSE
277,Clavos 00277,5087,Total,
278,Brocha 00278,2337,Total,TRUE
279,Cerradura 00279,8084,Truper,1
280,Sierra 00280,9209,Stanley,
281,Sierra 00281,764,Truper,
282,Pulidora 00282,8156,Total,
283,Clavos 00283,4157,Stanley,1
284,Tornillo 00284,10180,Pretul,SI
285,Martillo 00285,5888,Pretul,
286,Pintura 00286,6425,Bosch,NO
287,Reflector 00287,3833,Bosch,FALSE
288,Reflector 00288,9084,Truper,NO
289,Pulidora 00289,6186,Stanley,TRUE
290,Clavos 00290,3304,Total,
291,Tornillo 00291,24,,0
292,Pintura 00292,10671,Total,0
293,Cerradura 00293,7332,,NO
294,Sierra 00294,9656,EPAHome,TRUE
295,Brocha 00295,7170,Makita,
296,Taladro 00296,6118,Truper,1
297,,10518,Makita,1
298,Taladro 00298,3770,Makita,1
299,Reflector 00299,4379,Pretul,SI
300,Martillo 00300,9454,Makita,SI
301,Reflector 00301,3613,Pretul,TRUE
302,Brocha 00302,1447,Bosch,0
303,Sierra 00303,591,Makita,
304,Tornillo 00304,1384,,FALSE
305,Taladro 00305,3442,Truper,FALSE
306,Martillo 00306,604,Total,
307,Clavos 00307,7290,Total,NO
P308,Clavos 00308,10336,EPAHome,1
309,Reflector 00309,4886,Makita,1
310,Pulidora 00310,5745,Total,1
311,Pintura 00311,8004,Makita,0
312,Cerradura 00312,293,Pretul,
313,Clavos 00313,8429,Makita,NO
314,Brocha 00314,9033,Pretul,0
315,Pintura 00315,6984,EPAHome,
316,Pintura 00316,2826,Stanley,FALSE
317,Reflector 00317,3752,Bosch,
318,Pulidora 00318,3775,,NO
319,Clavos 00319,9426,Makita,SI
320,Taladro 00320,8382,Total,NO
321,Taladro 00321,5910,Total,NO
322,Pintura 00322,6654,Bosch,0
323,Clavos 00323,7280,EPAHome,1
324,Reflector 00324,7748,,TRUE
325,Tornillo 00325,9156,Bosch,TRUE
326,Clavos 00326,10302,Pretul,NO
327,Reflector 00327,8839,Stanley,NO
328,Pulidora 00328,3850,Pretul,
329,Sierra 00329,7744,Pretul,NO
330,,6440,Bosch,FALSE
331,Clavos 00331,9726,Stanley,SI
332,Brocha 00332,952,,1
333,Pintura 00333,6943,,TRUE
334,Martillo 00334,8625,,0
335,Clavos 00335,8751,Makita,TRUE
336,Cerradura 00336,7957,Makita,1
337,Reflector 00337,2753,Total,FALSE
338,Brocha 00338,5435,EPAHome,0
339,Clavos 00339,7240,Total,TRUE
340,Brocha 00340,1070,Pretul,NO
341,Cerradura 00341,10397,Stanley,SI
342,Clavos 00342,1854,EPAHome,TRUE
343,Martillo 00343,9959,Total,TRUE
344,Pulidora 00344,3548,Bosch,FALSE
345,Pulidora 00345,10405,,
346,Pintura 00346,5248,Total,NO
347,Pulidora 00347,939,Pretul,SI
348,Clavos 00348,795,Truper,0
349,Cerradura 00349,8897,Truper,NO
350,Taladro 00350,3492,Makita,FALSE
351,Martillo 00351,468,,0
352,Reflector 00352,2657,EPAHome,0
353,Clavos 00353,8020,,1
354,Taladro 00354,3151,Bosch,0
355,Sierra 00355,8640,EPAHome,0
356,Reflector 00356,10182,Bosch,0
357,Clavos 00357,5106,,1
358,Tornillo 00358,8947,Stanley,NO
359,Brocha 00359,4342,EPAHome,FALSE
360,Sierra 00360,4948,EPAHome,1
361,Pulidora 00361,5979,Bosch,1
362,Clavos 00362,4291,Truper,0
363,,3644,EPAHome,TRUE
364,Cerradura 00364,8929,Makita,0
365,Reflector 00365,9124,Pretul,1
366,Clavos 00366,9469,,SI
367,Brocha 00367,816,,
368,Brocha 00368,1968,Truper,0
369,Pintura 00369,8563,,1
370,Sierra 00370,1806,Truper,
371,Sierra 00371,3759,Stanley,FALSE
372,Clavos 00372,5040,EPAHome,
373,Pulidora 00373,8005,Makita,TRUE
374,Tornillo 00374,823,,1
375,Pulidora 00375,5187,Pretul,
376,Martillo 00376,6473,Truper,FALSE
377,Clavos 00377,7792,Total,FALSE
378,Clavos 00378,10237,Stanley,TRUE
379,Pintura 00379,473,Makita,FALSE
380,Taladro 00380,2642,Makita,1
381,Pintura 00381,2969,Stanley,
382,Clavos 00382,3504,EPAHome,FALSE
383,Cerradura 00383,9593,,0
384,Tornillo 00384,6341,,NO
P385,Martillo 00385,3157,Bosch,SI
386,Martillo 00386,8311,Bosch,
387,Pulidora 00387,3975,EPAHome,TRUE
388,Sierra 00388,8170,EPAHome,FALSE
389,Brocha 00389,1461,Truper,TRUE
390,Tornillo 00390,4507,Makita,
391,Clavos 00391,5666,EPAHome,0
392,Taladro 00392,2370,Bosch,TRUE
393,Taladro 00393,7130,Truper,1
394,Pintura 00394,10088,Bosch,0
395,Clavos 00395,7843,Pretul,TRUE
396,,240,Makita,1
397,Sierra 00397,8064,Makita,1
398,Tornillo 00398,5884,Pretul,
399,Reflector 00399,10756,EPAHome,NO
400,Cerradura 00400,111,EPAHome,SI
401,Pulidora 00401,10732,Truper,1
402,Pulidora 00402,1323,EPAHome,FALSE
403,Sierra 00403,4425,Truper,1
404,Pintura 00404,10532,Bosch,FALSE
405,Brocha 00405,1557,Pretul,
406,Sierra 00406,4931,Bosch,NO
407,Reflector 00407,6435,,FALSE
408,Sierra 00408,5925,Total,0
409,Brocha 00409,66,,1
410,Taladro 00410,ABC,Makita,TRUE
411,Reflector 00411,5551,Pretul,TRUE
412,Cerradura 00412,2212,Bosch,NO
413,Tornillo 00413,3206,Bosch,FALSE
414,Sierra 00414,1476,EPAHome,1
415,Pintura 00415,7574,EPAHome,
416,Reflector 00416,8985,Bosch,1
417,Martillo 00417,3002,EPAHome,
418,Pintura 00418,837,EPAHome,0
419,Cerradura 00419,1042,Stanley,0
420,Martillo 00420,4931,Stanley,0
421,Clavos 00421,9177,Truper,SI
422,Tornillo 00422,5007,Total,FALSE
423,Martillo 00423,9480,Total,
424,Reflector 00424,4613,Total,0
425,Pulidora 00425,7001,Stanley,NO
426,Pintura 00426,5232,Pretul,1
427,Sierra 00427,5382,Truper,1
428,Pulidora 00428,3877,Truper,FALSE
429,,1086,Pretul,NO
430,Tornillo 00430,5358,Truper,1
431,Cerradura 00431,7339,Truper,
432,Martillo 00432,7891,Truper,TRUE
433,Tornillo 00433,266,Pretul,NO
434,Brocha 00434,1627,Truper,0
435,Pulidora 00435,10553,Bosch,0
436,Sierra 00436,6532,Bosch,0
437,Cerradura 00437,8876,Makita,
438,Taladro 00438,2133,EPAHome,FALSE
439,Taladro 00439,1387,Bosch,TRUE
440,Taladro 00440,8540,Makita,FALSE
441,Pulidora 00441,1319,Total,TRUE
442,Martillo 00442,59,EPAHome,TRUE
443,Brocha 00443,9646,,SI
444,Tornillo 00444,8232,EPAHome,
445,Martillo 00445,7756,Stanley,0
446,Sierra 00446,7335,Total,0
447,Clavos 00447,5289,EPAHome,TRUE
448,Brocha 00448,1571,Makita,
449,Sierra 00449,7403,Stanley,FALSE
450,Taladro 00450,296,Makita,SI
451,Brocha 00451,8975,,TRUE
452,Cerradura 00452,2517,Total,TRUE
453,Martillo 00453,143,Makita,TRUE
454,Martillo 00454,8024,,FALSE
455,Pintura 00455,287,Pretul,NO
456,Pulidora 00456,3355,Bosch,NO
457,Pintura 00457,6593,,SI
458,Tornillo 00458,452,,0
459,Martillo 00459,5391,Bosch,TRUE
460,Brocha 00460,9824,Makita,SI
461,Martillo 00461,4746,Total,1
P462,,4532,Stanley,1
463,Pintura 00463,597,Bosch,
464,Brocha 00464,7308,Makita,TRUE
465,Taladro 00465,9352,Total,TRUE
466,Cerradura 00466,1520,EPAHome,NO
467,Pintura 00467,4157,Stanley,NO
468,Pintura 00468,6389,Makita,NO
469,Clavos 00469,4148,Stanley,TRUE
470,Martillo 00470,3513,Bosch,TRUE
471,Clavos 00471,3840,Truper,NO
472,Pintura 00472,3306,Stanley,TRUE
473,Cerradura 00473,304,Stanley,
474,Reflector 00474,9045,Truper,SI
475,Pintura 00475,7082,Stanley,SI
476,Pintura 00476,3907,Total,0
477,Taladro 00477,1799,Stanley,0
478,Taladro 00478,10515,Total,TRUE
479,Sierra 00479,9115,EPAHome,TRUE
480,Pintura 00480,86,Truper,TRUE
481,Pulidora 00481,3965,Total,
482,Martillo 00482,4391,Total,
483,Reflector 00483,10505,,FALSE
484,Taladro 00484,10439,Pretul,TRUE
485,Pulidora 00485,1342,Stanley,SI
486,Reflector 00486,6431,Pretul,1
487,Brocha 00487,2895,Bosch,FALSE
488,Martillo 00488,3136,Stanley,1
489,Sierra 00489,10032,EPAHome,NO
490,Taladro 00490,7475,Total,TRUE
491,Cerradura 00491,8267,EPAHome,0
492,Cerradura 00492,9522,EPAHome,
493,Martillo 00493,9642,Stanley,1
494,Taladro 00494,771,Total,FALSE
495,,7495,Bosch,NO
496,Pulidora 00496,3837,Pretul,NO
497,Martillo 00497,7686,Bosch,SI
498,Brocha 00498,9927,Makita,1
499,Tornillo 00499,5304,Stanley,
500,Brocha 00500,286,Makita,
500,Brocha 00500,286,Makita,
501,Taladro 00501,1267,Pretul,NO
502,Pulidora 00502,10662,Total,0
503,Sierra 00503,4243,,1
504,Pulidora 00504,8644,Truper,FALSE
505,Martillo 00505,3819,Stanley,1
506,Sierra 00506,33,EPAHome,0
507,Brocha 00507,3453,EPAHome,1
508,Taladro 00508,3868,Bosch,FALSE
509,Cerradura 00509,345,Makita,0
510,Tornillo 00510,3690,EPAHome,TRUE
511,Sierra 00511,3184,Truper,NO
512,Reflector 00512,1053,Truper,TRUE
513,Pulidora 00513,628,Makita,0
514,Pulidora 00514,6463,Bosch,1
515,Clavos 00515,7059,EPAHome,
516,Pulidora 00516,5930,Pretul,FALSE
517,Tornillo 00517,276,Makita,TRUE
518,Taladro 00518,7295,Pretul,
519,Pintura 00519,5484,Pretul,0
520,Brocha 00520,8221,Bosch,TRUE
521,Martillo 00521,895,Stanley,0
522,Tornillo 00522,7668,Truper,FALSE
523,Pintura 00523,1224,EPAHome,1
524,Brocha 00524,7236,Pretul,FALSE
525,Martillo 00525,59,Pretul,SI
526,Pulidora 00526,4499,Total,1
527,Brocha 00527,5772,Bosch,FALSE
528,,9997,Truper,1
529,Taladro 00529,6550,Truper,0
530,Reflector 00530,9864,Makita,TRUE
531,Taladro 00531,10427,Stanley,FALSE
532,Brocha 00532,4754,Total,SI
533,Brocha 00533,1964,Pretul,0
534,Taladro 00534,959,,1
535,Tornillo 00535,8141,Total,SI
536,Pintura 00536,3266,,NO
537,Sierra 00537,9668,Pretul,SI
538,Clavos 00538,9536,Truper,0
P539,Sierra 00539,10726,Bosch,NO
540,Martillo 00540,3684,Pretul,0
541,Pintura 00541,10555,Truper,TRUE
542,Clavos 00542,9894,Pretul,NO
543,Brocha 00543,6084,Stanley,FALSE
544,Brocha 00544,4439,,FALSE
545,Reflector 00545,10378,Makita,TRUE
546,Sierra 00546,870,Total,SI
547,Taladro 00547,9145,,FALSE
548,Tornillo 00548,8749,Total,FALSE
549,Brocha 00549,6765,Truper,FALSE
550,Cerradura 00550,8456,,1
551,Cerradura 00551,5977,EPAHome,1
552,Brocha 00552,5165,Pretul,TRUE
553,Martillo 00553,10198,Truper,TRUE
554,Taladro 00554,9464,Bosch,SI
555,Pintura 00555,6468,Total,TRUE
556,Pintura 00556,10496,EPAHome,SI
557,Pulidora 00557,8160,Truper,FALSE
558,Pulidora 00558,9616,EPAHome,1
559,Cerradura 00559,3926,Stanley,
560,Tornillo 00560,3927,Total,0
561,,9971,Stanley,0
562,Cerradura 00562,4114,,0
563,Pintura 00563,8443,Total,
564,Pulidora 00564,5454,Total,1
565,Tornillo 00565,7680,Pretul,0
566,Clavos 00566,7002,Pretul,1
567,Reflector 00567,9327,Makita,1
568,Pintura 00568,1217,EPAHome,TRUE
569,Pulidora 00569,8697,Truper,1
570,Brocha 00570,1729,Pretul,1
571,Sierra 00571,1820,Truper,0
572,Taladro 00572,5222,Stanley,
573,Pulidora 00573,10252,Pretul,
574,Tornillo 00574,5917,Truper,SI
575,Taladro 00575,2693,Pretul,1
576,Reflector 00576,5042,Makita,NO
577,Brocha 00577,10657,EPAHome,NO
578,Reflector 00578,8286,Truper,NO
579,Sierra 00579,5399,Truper,1
580,Pulidora 00580,8168,Makita,SI
581,Pintura 00581,1119,,FALSE
582,Reflector 00582,2011,Stanley,SI
583,Cerradura 00583,819,Truper,
584,Pulidora 00584,8096,Makita,SI
585,Reflector 00585,6553,,NO
586,Sierra 00586,10147,Truper,FALSE
587,Brocha 00587,6203,Stanley,TRUE
588,Tornillo 00588,2913,EPAHome,
589,Tornillo 00589,8268,Stanley,0
590,Pulidora 00590,7330,Pretul,
591,Clavos 00591,6783,EPAHome,NO
592,Pulidora 00592,9004,Pretul,FALSE
593,Clavos 00593,6796,Bosch,1
594,,109,Bosch,0
595,Sierra 00595,5121,Pretul,
596,Pintura 00596,1477,Total,1
597,Reflector 00597,9237,Total,0
598,Reflector 00598,4601,,TRUE
599,Cerradura 00599,1336,Makita,0
600,Clavos 00600,7921,,TRUE
601,Martillo 00601,10737,Bosch,SI
602,Pintura 00602,10483,EPAHome,1
603,Clavos 00603,4654,Truper,FALSE
604,Pintura 00604,10499,EPAHome,
605,Pulidora 00605,6540,,TRUE
606,Taladro 00606,7527,Total,FALSE
607,Pulidora 00607,10075,Truper,FALSE
608,Reflector 00608,6867,Stanley,FALSE
609,Pintura 00609,822,EPAHome,
610,Clavos 00610,9726,Stanley,
611,Reflector 00611,4172,Pretul,
612,Reflector 00612,5334,Stanley,NO
613,Pintura 00613,9727,Truper,0
614,Cerradura 00614,6729,,
615,Brocha 00615,ABC,,1
P616,Reflector 00616,2999,EPAHome,0
617,Cerradura 00617,8104,Stanley,NO
618,Sierra 00618,8195,,NO
619,Reflector 00619,2062,Makita,NO
620,Clavos 00620,840,Stanley,SI
621,Pintura 00621,7326,Total,NO
622,Martillo 00622,2309,Truper,0
623,Pulidora 00623,9678,Truper,FALSE
624,Clavos 00624,5507,Total,1
625,Pintura 00625,3051,Bosch,
626,Martillo 00626,6931,EPAHome,SI
627,,4635,Total,
628,Taladro 00628,2089,Total,NO
629,Pintura 00629,6462,EPAHome,NO
630,Reflector 00630,9255,Pretul,0
631,Taladro 00631,10043,Total,TRUE
632,Brocha 00632,6489,Truper,FALSE
633,Pintura 00633,4365,Makita,TRUE
634,Martillo 00634,2727,Pretul,FALSE
635,Cerradura 00635,4999,Total,NO
636,Martillo 00636,1933,EPAHome,NO
637,Clavos 00637,3799,Truper,
638,Brocha 00638,6489,Bosch,SI
639,Cerradura 00639,2500,Bosch,NO
640,Taladro 00640,5096,Pretul,
641,Reflector 00641,947,Truper,FALSE
642,Reflector 00642,4348,Pretul,0
643,Pintura 00643,6521,Truper,0
644,Martillo 00644,10049,Stanley,0
645,Tornillo 00645,9598,Pretul,1
646,Pintura 00646,9898,,
647,Pulidora 00647,7937,Makita,
648,Pintura 00648,635,Total,TRUE
649,Brocha 00649,7548,Total,0
650,Tornillo 00650,1290,Total,TRUE
651,Brocha 00651,4120,EPAHome,SI
652,Clavos 00652,9434,Bosch,FALSE
653,Pulidora 00653,8688,Pretul,FALSE
654,Reflector 00654,9315,Bosch,0
655,Taladro 00655,4420,Truper,TRUE
656,Taladro 00656,6342,,0
657,Brocha 00657,9005,Bosch,0
658,Pulidora 00658,298,Total,TRUE
659,Pulidora 00659,7201,Bosch,FALSE
660,,692,EPAHome,SI
661,Pintura 00661,4818,Makita,FALSE
662,Clavos 00662,6912,Stanley,
663,Taladro 00663,5007,EPAHome,0
664,Brocha 00664,6129,,1
665,Tornillo 00665,4488,Pretul,NO
666,Pulidora 00666,3648,,TRUE
667,Tornillo 00667,8990,Truper,SI
668,Cerradura 00668,1277,EPAHome,FALSE
669,Martillo 00669,1099,Pretul,1
670,Brocha 00670,5596,EPAHome,SI
671,Sierra 00671,10482,Total,TRUE
672,Clavos 00672,4902,Makita,NO
673,Brocha 00673,3526,EPAHome,TRUE
674,Tornillo 00674,7586,Stanley,FALSE
675,Reflector 00675,2275,Stanley,SI
676,Pintura 00676,357,Total,FALSE
677,Cerradura 00677,7258,Truper,SI
678,Taladro 00678,1084,Truper,0
679,Taladro 00679,2936,Truper,TRUE
680,Pintura 00680,5113,Pretul,FALSE
681,Reflector 00681,1919,Bosch,FALSE
682,Pintura 00682,4838,Bosch,1
683,Clavos 00683,9962,Stanley,1
684,Clavos 00684,6882,Pretul,TRUE
685,Tornillo 00685,4276,Stanley,
686,Cerradura 00686,3720,Total,TRUE
687,Tornillo 00687,3646,Stanley,1
688,Clavos 00688,5729,Makita,1
689,Pulidora 00689,5699,Stanley,TRUE
690,Taladro 00690,2262,Makita,SI
691,Cerradura 00691,3982,Truper,0
692,Martillo 00692,30,Truper,0
